matter_class,eos_id,family_group_id,amplitude,build_ok,physical_trace_ok,minimum_mass_msun,maximum_mass_msun,radius_1p4_km,covers_ml_mass_grid_1_to_2,passes_mmax_floor,passes_mmax_ceiling,passes_r14_screen,acceptable,reason
hadronic,APR-1,H_APR,-0.05,True,True,0.0885828476449009,2.226106848374988,12.195319944224684,True,True,True,True,True,
hadronic,APR-1,H_APR,-0.02,True,True,0.0887718749946614,2.2632915945406893,12.66307513866184,True,True,True,True,True,
hadronic,APR-1,H_APR,0.0,True,True,0.0889096206281317,2.289051692281542,12.983762879154584,True,True,True,True,True,
hadronic,APR-1,H_APR,0.01,True,True,0.0889820142246913,2.302207399027911,13.147846482189612,True,True,True,True,True,
hadronic,APR-1,H_APR,0.02,True,True,0.0890561530074486,2.315539760497586,13.308424913015916,True,True,True,True,True,
hadronic,APR-1,H_APR,0.03,True,True,0.0891324657325322,2.329043336206853,13.468460099261314,True,True,True,True,True,
hadronic,APR-1,H_APR,0.04,True,True,0.0892104503506953,2.342712602692816,13.621219756039435,True,True,True,True,True,
hadronic,APR-1,H_APR,0.05,True,True,0.0892906009310462,2.3565419799899163,13.771610713458111,True,True,True,True,True,
hadronic,APR-1,H_APR,0.09,True,True,0.0896278012660969,2.4133469631027045,14.285565868612986,True,True,True,True,True,
hadronic,BGP,H_BGP,-0.05,True,True,0.0900711707939019,2.373539089264108,12.834691549601258,True,True,True,True,True,
hadronic,BGP,H_BGP,-0.02,True,True,0.0901766586539111,2.4010327878634485,13.287903926028656,True,True,True,True,True,
hadronic,BGP,H_BGP,0.0,True,True,0.0902471254482249,2.4201300404052457,13.585314870984622,True,True,True,True,True,
hadronic,BGP,H_BGP,0.01,True,True,0.0902824568599339,2.4299026664548524,13.731139970809974,True,True,True,True,True,
hadronic,BGP,H_BGP,0.02,True,True,0.0903177100264623,2.4398215880748992,13.8714461224357,True,True,True,True,True,
hadronic,BGP,H_BGP,0.03,True,True,0.0903531279955837,2.4502100237038262,14.002703963977366,True,True,True,True,True,
hadronic,BGP,H_BGP,0.04,True,True,0.0903885907772746,2.461493638591856,14.128798512428297,True,True,True,True,True,
hadronic,BGP,H_BGP,0.05,True,True,0.0904241815766413,2.472929640680979,14.247100492394353,True,True,True,True,True,
hadronic,BGP,H_BGP,0.09,True,True,0.0905664566554451,2.520130014643473,14.645882228817868,True,True,True,False,False,R1.4 screen
hadronic,BL-1,H_BL,-0.05,True,True,0.0894405001379254,2.0701653846768986,11.806692775415572,True,True,True,True,True,
